E_1 / keV,n_1,Cs_137,Am-241,Co_57
3490.2,1065,0,0,0
3493.5,1066,0,0,0
3496.8,1067,0,0,0
3500.1,1068,0,0,0
3503.4,1069,0,0,0
3506.6,1070,0,0,0
3509.9,1071,0,0,0
3513.2,1072,0,0,0
3516.5,1073,0,0,0
3519.7,1074,0,0,0
3523,1075,0,0,0
3526.3,1076,0,0,0
3529.6,1077,0,0,0
3532.9,1078,0,1,1
3536.1,1079,0,0,0
3539.4,1080,0,0,0
3542.7,1081,0,0,1
3546,1082,0,0,0
3549.2,1083,0,0,1
3552.5,1084,0,0,0
3555.8,1085,0,0,0
3559.1,1086,0,0,0
3562.3,1087,0,0,0
3565.6,1088,0,0,1
3568.9,1089,0,0,0
3572.2,1090,0,0,0
