E_1 / keV,Cu Plate,Mo Source,Ag Plate,Zr Plate,Zn Plate,Ni Plate,Fe Plate,FeCr Alloy Plate,Tin Maybe Plate,Titanium Plate,Cu Maybe,Tin Maybe Plate,Mo Plate
32.03,0,40,0,0,0,0,0,0,0,0,0,0,0
32.13,0,34,0,0,0,0,0,0,0,0,0,0,0
32.23,0,29,0,0,0,0,0,0,0,0,0,0,0
32.33,0,26,0,0,0,0,0,0,0,0,0,0,0
32.43,0,32,0,0,0,1,0,0,0,0,0,0,0
32.52,0,24,0,0,0,0,0,0,0,0,0,0,0
32.62,0,27,0,0,0,0,0,0,0,0,0,0,0
32.72,0,25,0,0,0,0,0,0,0,0,0,0,0
32.82,0,34,0,0,0,0,0,0,0,0,0,0,2
32.92,0,27,0,0,0,0,0,0,0,0,0,0,0
33.02,0,23,0,0,0,0,0,0,0,0,0,0,0
33.12,0,25,0,0,0,0,0,0,0,0,0,0,0
33.21,0,23,0,0,0,0,0,0,0,0,0,0,0
33.31,0,22,0,0,0,0,0,0,0,0,0,0,0
33.41,0,23,0,0,0,0,0,0,0,0,0,0,0
33.51,0,17,0,0,0,0,0,0,0,0,0,0,0
33.61,0,20,0,0,0,0,0,0,0,0,0,0,0
33.7,1,15,0,0,0,0,1,0,0,0,0,0,0
33.8,0,19,0,0,0,0,1,0,0,0,0,0,0
33.9,0,10,0,0,0,0,0,1,0,0,0,0,0
34,0,20,0,0,0,0,0,0,0,0,0,0,1
34.1,0,14,0,0,0,0,0,0,0,0,0,0,0
34.2,0,22,0,0,0,0,0,0,0,0,0,0,0
34.3,0,17,0,0,0,0,0,0,0,0,0,0,0
34.39,0,13,0,0,0,0,0,0,0,0,0,0,0
34.49,0,12,0,0,0,0,0,0,0,0,0,0,0
34.59,0,10,0,0,0,0,0,0,0,0,0,0,0
34.69,0,5,0,0,0,0,0,0,0,0,0,0,0
34.79,0,14,0,0,0,0,0,0,0,0,0,0,0
34.89,0,9,0,0,0,0,0,0,0,0,0,0,0
34.98,0,14,0,0,0,0,0,0,0,0,0,0,0
35.08,0,12,0,0,0,0,0,0,0,0,0,0,0
35.18,0,5,0,0,0,0,0,0,0,0,0,0,0
35.28,0,10,0,0,0,0,0,0,0,0,0,0,0
35.38,0,13,0,0,0,0,0,0,0,0,0,0,0
35.48,0,13,0,0,0,0,0,0,0,0,0,0,0
35.57,0,9,0,0,0,0,0,0,0,1,0,0,0
35.67,0,9,0,0,0,0,0,0,0,0,0,0,0
35.77,0,7,0,0,0,0,0,0,0,0,0,0,0
35.87,0,12,0,0,0,0,0,0,0,0,0,0,0
35.97,0,12,0,0,0,0,0,0,0,0,0,0,0
36.07,0,12,0,0,0,0,0,0,0,0,0,0,0
36.16,0,8,0,0,0,0,0,0,0,0,0,1,0
36.26,0,6,0,0,0,0,0,0,0,0,0,0,0
36.36,0,10,0,0,0,0,0,0,0,0,0,0,0
36.46,0,8,0,0,0,0,0,0,0,0,0,0,0
36.56,0,11,0,0,0,0,0,0,0,0,0,0,0
36.66,0,7,0,0,0,0,0,0,0,0,0,0,0
36.75,0,5,0,0,0,0,0,0,0,0,0,0,0
36.85,0,9,0,0,0,0,0,0,0,0,0,0,0
36.95,0,11,0,0,0,0,0,0,0,0,0,0,0
37.05,0,8,0,0,0,0,0,0,0,0,0,0,0
37.15,0,14,0,0,0,0,0,0,0,0,0,0,0
37.25,0,5,0,0,0,0,0,0,0,0,0,0,0
37.34,0,9,0,0,0,0,0,0,0,0,0,0,0
37.44,0,13,0,0,0,0,0,0,0,0,0,0,0
37.54,0,9,0,0,0,0,0,0,0,0,0,0,0
37.64,0,5,0,0,0,0,0,0,0,0,0,0,0
37.74,0,5,0,0,0,0,0,0,0,0,0,0,0
37.84,0,10,0,0,0,0,0,0,0,0,0,0,0
37.93,0,5,0,0,0,0,0,0,0,0,0,0,1
38.03,0,7,0,0,0,0,0,0,0,0,0,0,0
38.13,0,2,0,0,0,0,0,0,0,0,0,0,0
38.23,0,6,0,0,0,0,0,0,0,0,0,0,0
38.33,0,2,0,0,0,0,0,1,0,0,0,0,0
38.43,0,5,0,0,0,0,0,0,0,0,0,0,0
38.52,0,6,0,0,0,0,0,0,0,0,0,0,0
38.62,0,5,0,0,0,0,0,0,0,0,1,0,0
38.72,0,5,0,0,0,0,0,0,0,0,0,0,0
38.82,0,5,0,0,0,0,0,0,0,0,0,0,0
38.92,0,6,0,0,0,0,0,0,0,0,0,0,0
39.02,0,8,0,0,0,0,0,0,0,0,0,0,0
39.11,0,7,0,0,0,0,0,0,0,0,0,0,0
39.21,0,6,0,0,0,0,0,0,0,0,0,0,0
39.31,0,2,1,0,0,0,0,0,0,0,0,0,0
39.41,0,5,0,0,0,0,0,0,0,0,0,0,0
39.51,0,0,0,0,0,0,0,0,0,0,0,0,0
39.61,0,3,0,0,0,0,0,0,0,0,0,0,0
39.7,0,6,0,0,0,0,0,0,0,0,0,0,0
39.8,0,4,0,0,0,0,0,0,0,0,0,0,0
39.9,0,1,0,0,0,0,0,0,0,0,0,0,0
40,0,6,0,0,0,0,0,0,0,0,0,0,0
40.1,0,1,0,0,0,0,0,0,0,0,0,0,0
40.2,0,3,0,0,0,0,0,0,0,0,0,0,0
40.29,0,1,0,0,0,0,0,0,0,0,0,0,0
40.39,0,5,0,0,0,0,0,0,0,0,0,0,0
40.49,0,5,0,0,0,0,1,1,0,0,0,0,0
40.59,0,4,0,0,0,0,0,0,0,0,0,0,0
40.69,0,2,0,0,0,0,0,0,0,0,0,0,0
40.79,0,3,0,0,0,0,0,0,0,0,0,0,0
40.88,0,4,0,0,0,0,0,0,0,0,0,0,0
40.98,0,3,0,0,0,0,1,0,0,0,0,0,0
41.08,0,1,0,0,0,0,0,0,0,0,0,0,0
41.18,0,6,0,0,0,0,0,0,0,0,0,0,0
41.28,0,3,0,0,0,0,0,0,0,0,0,0,0
41.38,0,3,0,0,0,0,0,0,0,0,0,0,0
41.47,0,5,0,0,0,0,0,0,0,0,0,0,0
41.57,0,2,0,0,0,0,0,0,0,0,0,0,0
41.67,0,4,0,0,0,0,0,0,0,0,0,0,0
41.77,0,0,0,0,0,0,0,0,0,0,0,0,0
41.87,0,2,0,0,0,0,0,0,0,0,0,0,0
41.97,0,2,0,0,0,0,0,0,0,0,0,0,0
42.06,0,2,0,0,0,0,0,0,0,0,0,0,0
42.16,0,3,0,0,0,0,0,0,0,0,0,0,0
42.26,0,0,0,0,0,0,0,0,0,0,0,0,0
42.36,0,1,0,0,0,0,0,0,0,0,0,0,0
42.46,0,3,0,0,0,0,0,0,0,0,0,0,0
42.55,0,1,1,0,0,0,0,0,0,0,0,0,0
42.65,0,1,0,0,0,0,0,0,0,0,0,0,0
42.75,0,2,0,0,0,0,0,0,0,0,0,0,0
42.85,0,4,0,0,0,0,0,0,0,0,0,0,0
42.95,0,3,0,0,0,0,0,0,0,0,0,0,0
43.05,0,1,0,0,0,0,0,0,0,0,0,0,0
43.15,0,2,0,1,0,0,0,0,0,0,0,0,0
43.24,0,2,0,0,0,0,0,0,0,0,0,0,0
43.34,0,3,0,0,0,0,0,0,0,1,0,0,0
43.44,0,1,0,0,0,0,0,0,0,0,0,0,0
