E_1 / keV,Mo plate cal,Cu straight through calibrate,Unknown - Tungsten (W),Unknown - Ti,Pb, In +  plastic,Tin/Copper,Fe Alloy,Iron Zinc,Pure Iron,Gold (Ganel’s pendant),Iron Nickel,Gold (Ganel’s chain),Nickel (Tulsi’s Ring),inconclusive (Ben’s Ring),Manganin (Cu Mn Ni),Iron (with possible mixing),Stainless steel ,Solder (tin),Nickel-Brass (Ganel’s Key),50 Florint ,10 peso (Copper Zinc),Israel (Copper Zinc Nickel),HK Dollar,5 Euro Cent (primarily copper),Indium,Pure Iron,Pure Nickel
7.57,34,227,108,3,36,5,0,22,193,530,67,4151,14,307,5,433,398,246,1,959,590,202,196,479,177,44,1423,1209
7.62,30,215,126,4,25,1,3,14,179,455,79,4228,25,383,4,489,294,177,3,1109,571,236,225,631,290,53,1132,1459
7.67,41,278,101,2,29,6,7,28,189,347,70,3586,8,408,4,506,217,135,2,1041,555,311,322,602,352,45,971,1532
7.72,47,367,93,6,29,7,1,13,163,290,99,3157,15,443,3,627,184,99,1,1048,606,387,380,643,458,43,866,1462
7.77,30,530,102,2,30,9,5,17,167,248,93,2688,17,436,6,667,139,105,1,1179,626,513,540,706,673,42,822,1363
7.82,35,916,87,1,34,10,2,23,158,221,93,2036,20,360,5,943,130,97,5,1406,684,667,662,806,986,47,714,1123
7.87,26,1426,83,5,31,8,4,22,170,244,103,1533,28,293,10,1259,104,96,2,1645,774,911,876,998,1300,64,650,872
7.92,25,2040,79,3,32,17,5,24,196,225,131,1190,28,282,5,1783,109,107,6,1847,920,1085,1050,1199,1545,75,619,569
7.97,22,2874,53,2,34,13,3,26,208,207,151,922,25,232,6,2490,110,118,7,2256,1007,1309,1276,1255,1824,82,598,419
8.02,18,3846,70,1,27,30,6,36,241,174,173,817,45,183,8,3253,118,163,9,2417,1118,1468,1463,1473,2038,92,600,266
8.07,17,4552,69,4,41,41,7,57,286,190,252,738,62,207,14,4163,129,144,16,2676,1180,1634,1545,1471,2370,112,577,174
8.12,28,4831,99,3,62,53,16,54,341,186,290,744,70,247,12,5151,114,173,27,2830,1131,1628,1567,1457,2262,130,561,144
8.17,31,4601,125,9,55,54,22,54,448,197,337,822,102,243,18,5766,134,156,20,2682,1092,1524,1543,1342,2216,144,576,124
8.22,24,4164,272,7,66,66,20,70,611,169,432,890,101,299,8,6081,112,137,21,2488,933,1422,1314,1203,2011,131,581,153
8.27,27,3382,375,6,63,62,25,76,875,183,410,847,104,333,20,5756,105,135,24,2158,782,1185,1071,1048,1678,144,600,166
8.32,27,2571,574,6,65,60,29,64,1278,162,397,840,99,310,15,5254,112,122,23,1824,675,961,839,786,1318,138,542,204
8.37,24,1756,856,7,67,68,27,62,1734,198,371,731,81,268,17,4190,83,104,27,1517,487,641,642,590,943,123,545,204
8.42,25,1301,1173,2,73,63,25,39,2377,187,305,753,72,226,12,3137,99,93,17,1260,363,506,451,474,716,78,598,199
8.46,22,975,1409,8,46,41,30,42,2896,175,213,595,58,172,15,2277,94,76,17,1132,280,352,366,291,498,98,517,199
8.51,25,705,1620,2,49,29,21,33,3378,191,213,470,47,141,7,1463,93,75,11,1020,212,250,249,259,374,68,576,188
8.56,20,672,1762,2,46,19,11,28,3826,176,195,380,38,94,9,1000,79,64,7,997,168,220,243,215,324,49,591,145
8.61,19,634,1769,1,25,20,8,23,4233,188,196,248,35,84,4,594,75,83,7,991,138,223,196,187,285,42,565,129
8.66,21,746,1579,5,32,10,5,28,4308,169,195,198,40,40,5,468,92,59,4,1013,132,203,197,187,293,47,552,94
8.71,20,876,1376,5,22,15,5,21,4173,195,195,159,25,26,4,438,111,59,7,1011,155,239,200,182,306,80,606,44
8.76,22,1041,1038,1,36,14,12,31,3898,199,177,107,29,20,1,440,93,66,5,963,149,230,228,195,367,51,571,36
8.81,18,1216,698,2,34,16,13,26,3163,188,183,84,36,12,2,495,94,62,7,803,149,254,210,208,364,61,546,25
8.86,11,1565,530,2,36,17,17,29,2730,219,149,95,41,23,5,658,96,63,3,792,145,271,242,183,449,82,599,11
8.91,21,1596,295,9,48,21,29,32,2063,208,170,86,40,20,6,775,96,81,4,699,161,296,251,170,386,76,614,6
8.96,13,1580,191,4,40,20,36,28,1431,206,156,65,44,25,8,887,107,86,5,530,115,238,218,155,365,73,602,4
9.01,19,1376,129,3,36,29,42,27,994,201,157,74,33,23,9,873,98,86,10,439,116,194,210,138,303,77,576,1
9.06,22,1145,109,5,56,29,48,33,721,204,138,69,32,13,16,787,93,65,12,340,90,168,178,128,278,59,629,3
9.11,13,869,60,7,61,23,50,32,550,184,156,69,35,13,5,694,109,73,9,297,68,133,140,109,223,65,558,1
9.16,12,631,53,7,56,12,42,23,514,208,144,56,32,16,5,585,106,78,9,211,58,126,109,85,166,53,651,2
9.21,18,434,65,6,58,8,39,23,490,199,117,48,33,9,6,400,112,90,7,182,52,77,80,63,116,55,700,2
9.26,15,345,65,2,49,10,33,13,512,174,125,44,24,4,3,285,116,82,5,139,29,46,59,44,85,38,688,0
9.31,24,327,100,2,44,4,18,15,521,189,152,38,27,8,6,140,92,67,2,90,26,38,44,33,69,41,716,1
9.36,25,318,155,0,61,6,16,15,549,206,197,42,27,1,3,113,100,87,4,117,20,40,29,27,53,28,886,0
9.41,24,352,231,1,49,5,14,30,584,251,333,48,31,6,3,84,110,63,2,109,24,34,22,29,37,33,938,0
9.46,28,414,341,2,39,7,5,22,634,277,457,46,56,3,4,46,102,78,2,96,25,20,18,18,30,38,991,0
